Month,AvgTemp,MinTemp,MaxTemp,Precip,HeatingDegreeDays,CoolingDegreeDays
"July, 2009",63.0,54.3,71.7,6.71,77,43
"June, 2009",58.7,49.1,68.3,6.70,169,5
"May, 2009",51.1,39.2,62.9,4.07,371,
"April, 2009",41.9,30.8,52.9,3.97,625,
"March, 2009",26.2,14.8,37.5,2.45,"1,107",
"February, 2009",18.9,8.4,29.3,2.65,"1,202",
"January, 2009",7.9,-3.2,19.0,2.57,"1,627",
"December, 2008",20.2,10.3,30.2,5.32,"1,253",
"November, 2008",35.0,27.9,42.1,5.34,839,
"October, 2008",44.2,34.7,53.7,4.09,578,
"September, 2008",56.2,45.6,66.9,6.01,215,2
"August, 2008",63.1,53.6,72.7,5.41,78,53
"July, 2008",67.7,57.1,78.3,4.91,14,144
"June, 2008",61.2,51.5,70.8,6.16,100,20
"May, 2008",50.0,37.8,62.2,1.65,399,
"April, 2008",41.5,30.0,53.1,4.24,643,
"March, 2008",23.1,12.2,34.0,4.62,"1,165",
"February, 2008",18.5,8.6,28.5,5.36,"1,191",
"January, 2008",18.6,9.0,28.3,2.91,"1,323",
"December, 2007",18.0,9.7,26.4,4.26,"1,347",
"November, 2007",31.7,24.2,39.2,6.90,905,
"October, 2007",49.6,39.9,59.3,4.85,416,
"September, 2007",57.2,45.4,69.1,2.38,182,8
"August, 2007",63.5,51.6,75.4,4.14,58,75
"July, 2007",64.6,53.7,75.4,3.56,44,77
"June, 2007",61.1,49.3,72.9,3.05,105,19
"May, 2007",51.2,38.8,63.6,3.20,370,
"April, 2007",37.0,27.5,46.4,6.48,768,
"March, 2007",25.8,15.2,36.5,4.14,"1,113",
"February, 2007",11.6,1.0,22.3,2.06,"1,385",
"January, 2007",17.3,7.9,26.7,2.61,"1,358",
"December, 2006",27.8,20.1,35.5,2.94,"1,044",
"November, 2006",38.9,31.8,46.0,4.97,707,
"October, 2006",44.9,35.9,53.9,7.85,554,
"September, 2006",56.1,45.1,67.0,2.96,213,5
"August, 2006",61.7,50.8,72.5,3.84,87,48
"July, 2006",68.9,58.3,79.5,5.46,9,172
"June, 2006",63.3,53.8,72.8,7.39,74,35
"May, 2006",53.2,42.6,63.7,5.90,334,
"April, 2006",42.3,31.0,53.6,2.35,623,
"March, 2006",29.0,19.7,38.3,1.20,"1,028",
"February, 2006",19.0,10.5,27.5,2.51,"1,182",
"January, 2006",22.6,14.0,31.2,4.28,"1,190",
"December, 2005",21.3,13.6,29.1,5.30,"1,248",
"November, 2005",35.3,27.3,43.2,6.27,797,
"October, 2005",47.2,39.7,54.6,11.26,497,
"September, 2005",58.5,47.6,69.5,4.68,142,16
"August, 2005",65.5,54.1,77.0,4.44,34,106
"July, 2005",66.6,54.9,78.3,3.89,24,109
"June, 2005",63.2,51.5,75.0,3.44,73,36
"May, 2005",47.2,38.4,56.1,5.87,523,
"April, 2005",41.1,30.5,51.7,7.30,654,
"March, 2005",25.0,14.6,35.5,4.27,"1,144",
"February, 2005",19.6,8.5,30.8,2.53,"1,183",
"January, 2005",11.5,1.0,21.9,2.34,"1,541",
"December, 2004",19.1,9.9,28.2,4.36,"1,285",
"November, 2004",33.2,25.2,41.3,4.19,867,
